Name,Event Description
RAJRAPPA GRAMIN VIKAS SANSTHA,education and research environment grassroots community development organisations health sanitation adolescents adults children dalits elderly farmers farm labourers girl child ngos rural poor students tribals volunteers women youth urban jharkhand
Samaj Vikas Sanstha,social services grassroots community development organisations health sanitation adults children women youth rural maharashtra
SKY FOUNDATION,social services grassroots community development organisations homes for children the aged handicapped displaced persons girl child mentally challenged physically rural poor women youth tamil nadu
Sree Lakshmi Jabbi Reddy Charitable Trust,health sanitation adolescents adults children chronically ill dalits displaced persons elderly healthcare workers medical practioners mentally challenged ngos patients physically rural poor urban volunteers women youth andhra pradesh
SRI.M. RAJAGOPALAN CHITRA EDUCATIONAL SOCIAL AND DIVINEï¿½TRUST,education and research recreation social clubs day care centres for handicapped development housing disaster emergency prevention control employment training environment grassroots community organisations homes children the aged transport activities manufacturing adolescents adults dalits affected farmers farm labourers homeless legal workers ngos orphans rural poor students volunteers women youth tamil nadu
Suman Sewa Sansthan,social services consultancy grassroots community development organisations health sanitation law advocacy and politics activities of religious news media architectural engineering other technical environment clothing material assistance education research collection purification distribution water construction recreation clubs homes for children day care centres handicapped housing disaster emergency prevention control employment training the aged dramatic arts music libraries information archives nursing adults animal lovers animals birds artisans artists beggars blood donors affected domestic workers farmers farm labourers healthcare homeless ngos orphans physically challenged plants street students urban poor volunteers weavers women youth rural uttar pradesh
SUNANDA FOUNDATION,health education and research law advocacy politics collection purification distribution of water grassroots community development organisations sanitation it services consultancy welfare guidance activities for children adolescents adults animals birds artisans artists blood donors chronically ill construction workers dalits domestic elderly factory farmers farm labourers girl child healthcare hiv homeless medical practioners mentally challenged migrants ngos patients physically plants policemen rickshawallahs drivers rural poor scavengers human slum dwellers students teachers tribals truckers urban weavers women youth maharashtra
Swabhiman Samiti,social services environment disaster emergency prevention and control grassroots community development organisations health sanitation agriculture adolescents affected farmers farm labourers rural poor women youth urban uttar pradesh
White Wings,social services education and research homes for children health sanitation the aged employment training welfare guidance activities adults women youth urban rural tamil nadu
YASH EDUCATION SOCIETY,social services education and research employment training libraries information centres archives health sanitation adults children women youth urban rural maharashtra
AASHARA BAHUUDDESHIYA TRUST,social services consultancy grassroots community development organisations business and professional associations unions law advocacy politics clothing other material assistance construction health sanitation recreation clubs libraries information centres archives education research employment training environment funeral related activities architectural engineering technical nursing homes it protection for animals birds sporting housing agriculture welfare guidance children accident victims adolescents adults animal lovers artisans artists beggars blood donors chronically ill workers dalits disaster affected displaced persons elderly factory farmers farm labourers firemen girl child healthcare hiv homeless medical practioners ngos orphans patients plants prisoners rickshawallahs drivers rural poor slum dwellers sportspersons street students teachers tribals urban volunteers women youth maharashtra
ALL INDIA PRAKASH SOCIETY,social services homes for children education and research grassroots community development organisations health sanitation mid day meals food distribution adults slum dwellers women youth urban rural delhi
Avanti Fellows,education and research students teachers urban rural tamil nadu
Block Voluntary Organisation for Improvement of Culture and Eco-Environment,social services grassroots community development organisations activities of religious education and research collection purification distribution water environment construction recreation clubs libraries information centres archives disaster emergency prevention control dramatic arts music other employment training health sanitation homes for children international human rights peace law advocacy politics nursing consultancy adults commercial sex workers affected elderly factory farmers farm labourers ngos orphans rickshawallahs drivers rural poor scavengers slum dwellers street students teachers tribals urban volunteers weavers women youth odisha
Grameen Vikas Shodh Avam Takniki Kendra Sansthan,social services education and research children dalits elderly girl child women youth rural rajasthan
Green Path Foundation,environment youth urban rural west bengal
HERVA FOUNDATION,health sanitation education and research environment social services adolescents adults children farmers farm labourers girl child patients rural poor students women youth gujarat
Ishwar Charitable Trust,health sanitation education and research accident victims adolescents adults armed forces artists beggars children construction workers dalits domestic elderly factory farmers farm labourers freedom fighters girl child healthcare migrants ngos organ donors patients policemen porters rickshawallahs drivers rural poor slum dwellers students teachers urban volunteers women youth delhi
Kanak Jan Kalyan Samiti,social services adolescents adults children dalits farmers farm labourers girl child healthcare workers hiv mentally challenged ngos orphans rural poor slum dwellers street tribals urban volunteers women youth uttar pradesh
Mahila Seva Sangh,social services recreation and clubs homes for children dramatic arts music other activities education research employment training women urban rural andaman nicobar islands
MANASWEDH FOUNDATION,social services dramatic arts music and other activities education research employment training environment grassroots community development organisations health sanitation homes for children the handicapped law advocacy politics architectural engineering technical consultancy adolescents adults artists blood donors commercial sex workers construction dalits disaster affected farmers farm labourers freedom fighters girl child healthcare hiv homeless lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ patients physically policemen porters rickshawallahs drivers rural poor sportspersons street students teachers tribals urban volunteers women youth maharashtra
MIMAANSA,education and research grassroots community development organisations health sanitation consultancy services children students teachers urban maharashtra
NORWEGIAN FREE EVANGELICAL MISSION,education and research clothing other material assistance homes for children mid day meals food distribution development housing dalits girl child mentally challenged orphans physically rural poor street students tribals maharashtra
SAMYAK BAHUUDDESHIYA SAMAJIK VIKAS SANSTHA,social services consultancy grassroots community development organisations health sanitation activities of religious education and research architectural engineering other technical business professional associations unions law advocacy politics construction libraries information centres archives homes for children employment training environment funeral related the aged nursing it protection animals birds sporting travel tourists assistance welfare guidance accident victims adults animal lovers artisans artists beggars blood donors chronically ill workers dalits disaster affected displaced persons domestic elderly factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless legal medical practioners ngos organ orphans patients physically challenged plants policemen prisoners rickshawallahs drivers rural poor slum dwellers sportspersons street students teachers tribals urban volunteers women youth maharashtra
SKYNET FOUNDATION,education and research employment training environment agriculture manufacturing consultancy services adults artisans blood donors children construction workers disaster affected domestic elderly factory farmers farm labourers freedom fighters healthcare hiv homeless legal ngos patients plants rural poor students tribals women youth urban gujarat
VISHWAS DYAN PRABODHINI & RESEARCH INSTITUTE,education and research adolescents children dalits girl child ngos rural poor slum dwellers sportspersons street students teachers tribals urban volunteers women youth maharashtra
Youth 4 Jobs Foundation,education and research employment training physically challenged students teachers youth urban rural telangana
Aashraydurg Bahuuddeshiy Samajik Sanstha,social services grassroots community development organisations health sanitation employment and training adolescents adults children dalits disaster affected domestic workers elderly farmers farm labourers orphans patients physically challenged rural poor slum dwellers students tribals urban women youth maharashtra
AHMADPUR SPORTS COMPLEX,social services health sanitation it children sportspersons students women youth urban rural west bengal
CHILD HEART FOUNDATION,social services health sanitation children girl child orphans urban rural delhi
COMMUNITY AWARENESS & VILLAGE IMPROVEMENT,social services education and research adults blood donors children dalits elderly farmers farm labourers girl child healthcare workers hiv juvenile orphans patients physically challenged women youth urban rural andhra pradesh
DRONAGIRI SHIKSHAN SANSTHA,social services homes for children orphans rural maharashtra
NARENDRAPUR HOPE HOUSE FOUNDATION,social services education and research employment training environment grassroots community development organisations health sanitation homes for children the aged handicapped adults blood donors disaster affected elderly farmers farm labourers girl child healthcare workers hiv homeless mentally challenged ngos physically plants rural poor street students volunteers women youth urban west bengal
"RAJINDRA EDUCATIONAL, WELFARE AND RESEARCH TRUST",education and research health sanitation homes for children day care centres handicapped employment training social services international human rights peace organisations libraries information archives development housing consultancy welfare guidance activities adults dalits displaced persons domestic workers factory girl child healthcare hiv legal medical practioners migrants ngos orphans patients physically challenged rural poor sportspersons street students teachers urban volunteers women youth jammu kashmir
Reaching Sky Foundation,education and research employment training it services consultancy social recreation clubs adolescents adults children girl child juvenile rural poor slum dwellers street students teachers urban volunteers women youth delhi
Rural & Urban Development Of India (RUDI),health education and research employment training sanitation associations unions adults children women youth urban rural west bengal
Sai Pratishthan,social services homes for children day care centres handicapped education and research environment the aged adolescents adults domestic workers girl child healthcare hiv migrants women rural maharashtra
UGAM EDUCATION FOUNDATION,education and research children teachers rural jharkhand
VOLUNTARY AGENCY FOR SOCIAL ACTION (VASA),social services education and research welfare guidance activities for children adults farmers farm labourers girl child healthcare workers students teachers tribals women youth urban rural odisha
ANUSANDHAN SHIKSHA EVAM SAMAJIK SAMITI,education and research employment training rural poor street children students tribals urban volunteers women youth madhya pradesh
C. P. S. TRUST,education and research libraries information centres archives employment training it services adults beggars children dalits displaced persons elderly farmers farm labourers girl child physically challenged rural poor street students tribals urban women youth jharkhand
GRAMIN VIKAS GRAMROJGAR YUVA BAHUUDESHIYAï¿½MANDAL,social services welfare and guidance activities for children ngos rural poor maharashtra
SEARCH FOUNDATION,social services education and research consultancy disaster affected factory workers farmers farm labourers migrants rural poor students teachers women youth maharashtra
SHANTI BHAVAN EDUCATIONAL TRUST,education and research environment development housing children dalits girl child orphans students rural karnataka
SOCIAL AWARNESS AND VOLUNTARY EDUCATION (SAVE) MICHEALPALAYAM,social services homes for children environment consultancy welfare and guidance activities adolescents adults domestic workers factory girl child migrants ngos rural poor street women youth urban tamil nadu
SUVARNA KARNATAKA INTEGRATED RURAL DEVELOPMENT SOCIETY,education and research consultancy services grassroots community development organisations health sanitation law advocacy politics activities of religious architectural engineering other technical environment business professional associations unions collection purification distribution water construction social disaster emergency prevention control recreation clubs libraries information centres archives homes for children day care handicapped housing dramatic arts music employment training funeral related the aged international assistance human rights peace transport manufacturing marriage bureaus mid meals food news media museums preservation historical sites nursing it protection animals birds recycling metal waste non sporting travel tourists welfare guidance adolescents adults animal lovers artists dalits displaced persons domestic workers elderly factory farmers farm labourers freedom fighters girl child healthcare hiv homeless juvenile legal medical practioners mentally challenged ngos organ donors orphans patients physically plants policemen porters rickshawallahs drivers rural poor scavengers slum dwellers sportspersons street students teachers truckers urban volunteers women youth karnataka
AAFTAB-E-ALAM SOCIAL WELFARE SOCIETY,social services education and research health sanitation it consultancy children girl child rural poor students urban women youth west bengal
EQUINOX SOCIAL WELFARE FOUNDATION,social services consultancy grassroots community development organisations adults children girl child homeless juvenile orphans physically challenged rural poor slum dwellers street students urban women youth west bengal
SREE NARAYANA GURU MISSION CHARITIES,education and research recreation social clubs homes for children disaster emergency prevention control orphans patients rural poor students teachers urban kerala
ACTION FOR EXCELLENCE IN CHILDREN AND WOMEN FOUNDATION,education and research employment training consultancy services adolescents domestic workers urban poor women delhi
Ahvaan Trust,education and research children girl child teachers urban poor delhi
Bhartiya Jan Kalyan Sewa Sansthan,social services disaster emergency prevention and control environment grassroots community development organisations health sanitation education research agriculture welfare guidance activities for children adolescents adults animals birds artisans commercial sex workers dalits affected displaced persons domestic elderly farmers farm labourers girl child hiv juvenile migrants physically challenged rickshawallahs drivers rural poor street students tribals truckers urban women youth uttar pradesh
KAPADVANJ KELAVANI MANDAL,social services education and research employment training it children construction workers girl child students teachers youth urban rural gujarat
PEOPLE FOR ANIMALS BANGALORE,environment protection activities for animals and birds welfare guidance children urban karnataka
PRATHAM AADHAR FOUNDATION LATUR,education and research employment training environment manufacturing consultancy services children disaster affected plants rickshawallahs drivers rural poor students women youth urban maharashtra
The Rural Socials & Economics Empowerment,social services grassroots community development organisations education and research environment construction recreation clubs housing disaster emergency prevention control employment training consultancy health sanitation homes for children the aged international human rights peace libraries information centres archives museums preservation of historical sites it protection activities animals birds news media sporting agriculture travel tourists assistance welfare guidance affected domestic workers elderly ethnic groups farmers farm labourers girl child hiv ngos students tribals volunteers weavers women youth rural manipur
Sarthak Foundation,education and research consultancy services welfare guidance activities for children beggars girl child migrants rural poor slum dwellers street urban delhi
AANANDAM TRUST,social services education and research employment training consultancy adults children construction workers dalits factory girl child ngos rural poor students urban women youth delhi
Akhila Bharatha Mahila Seva Samaja,social services health sanitation welfare and guidance activities for children patients rural poor urban women karnataka
ARUNACHALA ANIMAL SANCTUARY AND RESCUE SHELTER,social services protection activities for animals and birds animal lovers urban rural tamil nadu
BHAVANARUSHI BAHUDDESHIYA SANSTHA,education and research consultancy services grassroots community development organisations health sanitation law advocacy politics activities of religious news media architectural engineering other technical environment business professional associations unions clothing material assistance collection purification distribution water construction social disaster emergency prevention control recreation clubs libraries information centres archives homes for children day care handicapped housing dramatic arts music employment training funeral related the aged international human rights peace transport manufacturing marriage bureaus mid meals food museums preservation historical sites it protection animals birds recycling metal waste non refugee sporting agriculture travel tourists welfare guidance accident victims adolescents adults animal lovers armed forces artisans artists beggars blood donors chronically ill commercial sex workers dalits affected displaced persons domestic elderly ethnic groups factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless juvenile legal lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ orphans patients physically plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt scavengers slum dwellers sportspersons street students teachers tribals truckers urban volunteers war weavers women youth maharashtra
CHETANA EMPOWERMENT FOUNDATION,social services consultancy health sanitation welfare and guidance activities for children women youth urban rural maharashtra
GRAM NEHRU YUVA TRUST,social services construction homes for children day care centres handicapped disaster emergency prevention and control education research employment training environment grassroots community development organisations health sanitation manufacturing agriculture adolescents adults artisans dalits affected domestic workers farmers farm labourers girl child healthcare hiv homeless juvenile ngos plants rickshawallahs drivers rural poor scavengers human sportspersons street students tribals urban volunteers women youth bihar
Jan Swasthya Sahyog,health sanitation rural poor tribals chhattisgarh
Loharakhandi Sahitya Sansada,health consultancy services news media adults children farmers farm labourers hiv migrants ngos plants students urban rural odisha
Monk Prayogshala,education and research libraries information centres archives health sanitation adults ethnic groups healthcare workers ngos rural poor students teachers urban women youth karnataka
Society for Participatory Research in Asia,social services law advocacy and politics education research grassroots community development organisations international assistance associations adolescents adults dalits domestic workers girl child healthcare migrants ngos rural poor slum dwellers students tribals urban volunteers women youth andhra pradesh
Swasthya Swaraj Society,health education and research sanitation adolescents adults children girl child healthcare workers patients rural poor students tribals women odisha
MATRI SUDHA- A CHARITABLE TRUST,education and research grassroots community development organisations health sanitation consultancy services welfare guidance activities for children adolescents girl child healthcare workers women urban rural delhi
RAJSHREE BAHUUDDESHIYA SEVABHAVI SANSTHA,social services grassroots community development organisations education and research news media architectural engineering other technical activities environment consultancy business professional associations unions law advocacy politics collection purification distribution of water construction libraries information centres archives dramatic arts music employment training homes for children the handicapped it protection animals birds health sanitation housing agriculture adults animal lovers artists beggars blood donors workers dalits disaster affected displaced persons domestic ethnic groups factory farmers farm labourers girl child healthcare hiv homeless juvenile migrants ngos organ patients physically challenged plants rickshawallahs drivers rural poor street students teachers urban volunteers women youth maharashtra
SARTHAK EDUCATIONAL TRUST,education and research employment training children urban rural chandigarh
Social Work and Research Centre,social services law advocacy and politics collection purification distribution of water environment homes for children dramatic arts music other activities education research employment training grassroots community development organisations health sanitation artists ethnic groups girl child ngos rural poor volunteers women youth andhra pradesh
SRI JAGANNATH MANAV SEVA SAMITI,health sanitation adults children dalits elderly rural poor students madhya pradesh
THE GROW RICH FOUNDATION TRUST,social services environment construction employment and training education research agriculture adults artisans artists beggars children workers dalits disaster affected displaced persons domestic elderly ethnic groups factory farmers farm labourers girl child healthcare homeless juvenile mentally challenged migrants orphans patients physically rickshawallahs drivers rural poor salt scavengers human slum dwellers street students tribals urban weavers women youth puducherry
YASHWANT CHARITABLE SANSTHA,health social services adults children women youth rural maharashtra
Abhivyakti Foundation,social services education and research law advocacy politics environment recreation clubs disaster emergency prevention control dramatic arts music other activities employment training grassroots community development organisations health sanitation agriculture consultancy adolescents adults artisans artists children dalits factory workers farmers farm labourers girl child healthcare ngos rural poor slum dwellers students teachers tribals urban volunteers women youth jharkhand
Bishnupur Al-Hidayat Welfare Society,social services homes for children day care centres handicapped education and research the aged disaster emergency prevention control dramatic arts music other activities international human rights peace organisations accident victims adults blood donors dalits legal workers ngos organ orphans patients physically challenged refugees rickshawallahs drivers rural poor salt students volunteers women youth west bengal
Dhupguri Tista Torsha Foundation,social services health sanitation education and research environment employment training grassroots community development organisations libraries information centres archives manufacturing adolescents adults animal lovers beggars children displaced persons elderly girl child healthcare workers hiv mentally challenged patients physically plants rickshawallahs drivers rural poor street students tribals volunteers women youth urban west bengal
JESUS MARY JOSEPH SOCIAL SERVICE SOCIETY (JMJSSS),social services consultancy grassroots community development organisations education and research collection purification distribution of water construction homes for children day care centres handicapped housing disaster emergency prevention control employment training health sanitation the aged transport activities law advocacy politics nursing welfare guidance adults dalits affected elderly hiv homeless medical practioners mentally challenged ngos orphans patients physically plants prisoners rural poor street students tribals women youth urban andhra pradesh
