Name,Description
SOCIETY FOR INTEGRATED DEVELOPMENT & SOCIAL ACTION,social services rural all india children disaster affected elderly healthcare workers patients physically challenged rural poor students women youth
UJJWAL PRATISHTHAN,social services urban rural maharashtra accident victims adolescents adults animals birds beggars children construction workers dalits domestic workers elderly ethnic groups factory workers farmers farm labourers freedom fighters girl child healthcare workers hiv homeless legal workers ngos rickshawallahs drivers rural poor slum dwellers street children students tribals urban poor volunteers war victims weavers women youth
Victory Educational and Welfare Society,social services urban rural andhra pradesh blood donors farmers farm labourers hiv women
W.S.S.TRUST (WINNER SOCIAL SERVICE TRUST),social services urban rural andaman and nicobar islands accident victims adolescents adults animal lovers animals birds beggars blood donors children dalits displaced persons domestic workers farmers farm labourers freedom fighters girl child healthcare workers hiv legal workers mentally challenged migrants ngos organ donors orphans patients physically challenged plants prisoners rickshawallahs drivers rural poor slum dwellers sportspersons street children students teachers tribals urban poor volunteers women youth
AAHVAN EK PEHAL SAMITI,education and research urban rural madhya pradesh adolescents adults artists children disaster affected girl child mentally challenged ngos physically challenged rural poor slum dwellers street children students teachers urban poor volunteers weavers women youth
AASHNA FOUNDATION,health urban rural karnataka adults blood donors children elderly factory workers patients women youth
ANNAI KASTHURIBAI MAHALIR MANDRAM,development and housing rural all india adults rural poor
ANNAI THERASA SOCIAL DEVELOPMENT ORGANISATION (ATHESDAM),social services rural tamil nadu adolescents children dalits farmers farm labourers girl child healthcare workers legal workers ngos rural poor urban poor women
Centre for Civil Society,education and research urban rural all india girl child ngos rural poor students teachers tribals urban poor volunteers youth
Crafts & Social Development Organisation,business and professional associations unions urban rural all india adults
DEEPALAYA,development and housing rural all india adults
DESH FOUNDATION,social services urban rural all india children elderly homeless slum dwellers women youth
Digital Green Trust,social services rural andhra pradesh adults farmers farm labourers
Divya-Jyoti Trust,health urban rural gujarat orphans rural poor tribals
Environmentalist Foundation of India,environment urban rural meghalaya animal lovers animals birds children tribals urban poor volunteers youth
Gargvanshi Sarwajan Kalyan Sewa Sansthan,social services rural all india adults
GHASWALA VISION FOUNDATION,health urban rural all india accident victims adolescents adults beggars children commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers girl child homeless juvenile migrants ngos orphans patients physically challenged refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers street children students
Gram Mangal,education and research urban rural all india students teachers tribals
Impact Guru Foundation,philanthropic intermediaries and voluntarism promotion urban rural all india accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
LADY WILLINGDON HOSPITAL EVAM DAY STAR SCHOOL SOCIETY,health urban rural himachal pradesh adolescents adults children women youth
MAA TARINI VISUALLY IMPAIRED AND INCAPABLE VOLUNTEERS ORGANISATION,development and housing rural all india adults children physically challenged rural poor women youth
Miracle Organization towards Health and Education Remedial Society,social services urban rural all india accident victims adolescents adults children commercial sex workers dalits farmers farm labourers girl child healthcare workers hiv juvenile legal workers migrants ngos orphans physically challenged plants rural poor slum dwellers street children students tribals urban poor volunteers women youth
Muskan Sansthan,social services urban rural all india adults children
PRATYAYA EDURESEARCH LAB,education and research rural all india adolescents adults children dalits girl child students teachers tribals youth
RURAL ACTION FOR INTEGRITY & SOCIAL EDUCATION,education and research rural all india children women
SHIELD-CITIZEN'S INITIATIVE (SCI),social services urban rural delhi adults
Shrimad Rajchandra Adhyatmik Satsang Sadhana Kendra,social services urban rural gujarat accident victims adolescents adults animal lovers animals birds artisans beggars blood donors children chronically ill construction workers girl child healthcare workers ngos youth
Societal Upliftment Initiative Trust,education and research urban rural bihar adolescents beggars children girl child homeless ngos orphans rural poor street children students urban poor
Sports Coaching Foundation,culture and recreation urban rural andhra pradesh adolescents children girl child homeless juvenile ngos orphans rural poor sportspersons street children urban poor volunteers youth
Sundarban Tiger Widow Welfare Society,social services urban rural west bengal adolescents adults children women youth
SWARAJYA BAHUUDESHIYA ASSOCIATION,education and research urban rural maharashtra accident victims adults animal lovers animals birds armed forces artisans artists blood donors children construction workers domestic workers elderly factory workers farmers farm labourers freedom fighters girl child healthcare workers hiv homeless legal workers mentally challenged ngos organ donors orphans patients physically challenged plants policemen prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human sportspersons street children students teachers tribals urban poor volunteers war victims women youth
Trax Sports Society,law advocacy and politics urban rural all india accident victims adolescents adults children elderly rickshawallahs drivers students teachers truckers women youth
Vanavil Trust,education and research rural tamil nadu adolescents adults beggars children dalits disaster affected girl child homeless juvenile rural poor street children students tribals youth
Vidhi Centre for Legal Policy,law advocacy and politics urban rural all india adults legal workers ngos students
Virutcham Magalir Munnetra Kalzangiam,social services urban rural tamil nadu adolescents adults artisans children commercial sex workers construction workers dalits domestic workers elderly factory workers farmers farm labourers girl child healthcare workers hiv homeless juvenile lesbian gays bisexuals transgender migrants ngos orphans street children students tribals urban poor women youth
Voice Of Rural India Samiti,social services rural all india adults rural poor
"Women, Media & News Trust",law advocacy and politics rural bihar adults construction workers dalits farmers farm labourers healthcare workers legal workers ngos rural poor youth
Youth Development Project,social services urban rural odisha children disaster affected farmers farm labourers girl child mentally challenged orphans physically challenged rural poor tribals women youth
ABHAY SEVA SAMITHI,social services rural all india adults
"AIM, Art Illuminates Mankind",culture and recreation urban rural all india artisans artists ethnic groups tribals weavers
ANAND SHAIKSHANIK SAMAJIK SEVABHAVI SANSTHA,education and research urban rural maharashtra children plants rural poor
Asha Bhavan Centre,health rural all india adolescents blood donors children disaster affected girl child mentally challenged physically challenged rural poor slum dwellers students volunteers women
AYATHI TRUST,education and research urban karnataka adolescents adults artists children orphans youth
Bihar Voluntary Health Association,health urban rural bihar adolescents children dalits disaster affected elderly girl child hiv ngos rural poor slum dwellers street children urban poor volunteers women youth
Bullock-Cart Workers Development Association,development and housing urban rural andaman and nicobar islands accident victims adolescents adults artisans children farmers farm labourers rural poor scavengers human slum dwellers students urban poor volunteers women youth
Burooj Education Foundation,education and research urban rural all india children ethnic groups rural poor slum dwellers students teachers urban poor women youth
CaN Trust,education and research urban rural karnataka children
Centre For Health And Resource Management,health urban rural bihar adolescents adults children dalits girl child rural poor slum dwellers urban poor women youth
Chakdaha Jatiya Matri Seva Samity,social services urban rural west bengal adults rickshawallahs drivers rural poor slum dwellers women youth
CHIKITSA,health urban delhi adolescents adults beggars children construction workers domestic workers elderly homeless juvenile mentally challenged migrants patients physically challenged rickshawallahs drivers slum dwellers street children urban poor women youth
COODU (Community Organisation for Oppressed and Depressed Upliftment),social services urban rural tamil nadu adults beggars children disaster affected factory workers hiv slum dwellers students teachers
Dombivli Welfare Society,social services urban rural maharashtra beggars children dalits homeless mentally challenged orphans rural poor slum dwellers tribals women youth
Ecosan Services Foundation,environment urban rural all india adults farmers farm labourers healthcare workers plants urban poor
FAIQUA FOUNDATION,social services rural all india artists children youth
GARAIMARI ANKUR FOUNDATION,education and research rural west bengal adults blood donors children disaster affected farmers farm labourers mentally challenged rural poor students teachers women youth
GRAMEENA PRATHISTHANA,social services urban rural karnataka accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected domestic workers elderly ethnic groups factory workers farmers farm labourers girl child homeless juvenile mentally challenged orphans patients physically challenged plants porters refugees rickshawallahs drivers rural poor slum dwellers street children students tribals urban poor weavers women youth
HELP SOCIETY FOR POOR AND DISABLED,social services urban rural andhra pradesh adolescents adults physically challenged rural poor urban poor women youth
KARIMPUR ANAMI JATRA SAMAJ,culture and recreation urban rural all india artists blood donors ngos rural poor
MADHUR MITHRAAS TRUST,social services urban rural tamil nadu children chronically ill construction workers elderly ethnic groups farmers farm labourers girl child patients rickshawallahs drivers rural poor street children students teachers tribals urban poor women
Madhur Muskan,development and housing rural all india adults rural poor
MARGADARSHI THE ASSOCIATION FOR PHYSICALLY CHALLENGED,health urban rural karnataka adolescents adults physically challenged rural poor students urban poor women youth
"MEHAAN, Charitable Foundation",social services urban rural all india adolescents adults children chronically ill disaster affected displaced persons girl child healthcare workers hiv homeless mentally challenged migrants ngos orphans patients physically challenged rural poor scavengers human slum dwellers street children students teachers urban poor volunteers women youth
MUDRA SOCIAL WELFARE SOCIETY SAMITI,social services urban rural all india adults
Murshidabad Ursa Rural Development Society,social services urban rural jharkhand adolescents adults blood donors children commercial sex workers farmers farm labourers girl child homeless rural poor street children tribals urban poor women youth
Parimaarjan,social services rural all india adolescents adults women youth
Pimpri Chinchwad Science Park,social services urban rural maharashtra adults women youth
Reach Out India Foundation,environment urban bihar displaced persons orphans porters slum dwellers street children
SAHYADRI MEDICAL AND EDUCATION FOUNDATION,health rural all india adults children rural poor women youth
Santipur Educational Cultural And Health Organisation,education and research rural west bengal adults children elderly hiv women youth
SARWANCHAL SANSKRITIK AVAM SAMAJIK VIKAS MANCH (SUDHI),social services urban rural all india accident victims adolescents adults children disaster affected street children urban poor women
Sesame Workshop India Trust,social services urban rural all india adults children
SHIKSHA,education and research urban all india adolescents beggars children girl child juvenile scavengers human slum dwellers street children women youth
Shree Anjaiah Pureti Educational Society,social services urban rural uttar pradesh adults children women youth
Skylark Education Welfare Society,education and research rural all india adults rural poor students women youth
SMALL CHANGE,philanthropic intermediaries and voluntarism promotion urban rural all india ngos
SOCIETY FOR ACTION WITH RURAL POOR,health rural all india children farmers farm labourers women
SOCIETY FOR ALL ROUND DEVELOPMENT (SARD),education and research urban rural delhi children girl child homeless juvenile migrants ngos refugees rural poor slum dwellers street children students teachers urban poor volunteers women youth
Society for Helping Integrity Network for Empowerment SHINE,social services urban rural andhra pradesh girl child juvenile legal workers ngos rural poor scavengers human slum dwellers street children students teachers tribals urban poor volunteers women youth
Trailblazers Foundation,social services urban rural all india adults animals birds blood donors children plants rural poor students teachers women youth
Ummeed Foundation,social services urban rural all india adults beggars children chronically ill hiv mentally challenged physically challenged street children students teachers urban poor women youth
VIDYA FOUNDATION,education and research urban rural delhi ethnic groups factory workers farmers farm labourers freedom fighters girl child healthcare workers homeless juvenile lesbian gays bisexuals transgender medical practioners mentally challenged migrants physically challenged plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers war victims weavers women youth
Vrindavan Chandrodaya Mandir Trust,religion urban rural delhi adults youth
AAJEEVIKA BUREAU TRUST,social services urban rural gujarat adults construction workers domestic workers factory workers farmers farm labourers homeless migrants ngos patients porters rickshawallahs drivers rural poor slum dwellers urban poor women youth
AASHA FOUNDATION,health urban rural maharashtra adults children domestic workers farmers farm labourers healthcare workers hiv mentally challenged migrants physically challenged rural poor slum dwellers street children students tribals urban poor women youth
ABHINAV SHAIKSHANIK VA BAHUUDDESHIYA SANSTHA,education and research urban maharashtra accident victims girl child ngos physically challenged rural poor students tribals women youth
Adarsh Mahila Griha Udyog,social services urban rural maharashtra adolescents adults children students teachers women youth
ADHIKAR(A PUBLIC CHARITABLE TRUST AND MICRO FINANCE INSTITUTION),social services urban rural west bengal adolescents adults beggars children displaced persons domestic workers elderly ethnic groups farmers farm labourers girl child healthcare workers hiv homeless mentally challenged ngos organ donors orphans patients physically challenged plants rural poor street children students teachers urban poor volunteers women youth
AHAAN FOUNDATION,social services urban rural karnataka adolescents children girl child
AKHIL BHARTIYA SMT. LEELAWATI MAHILA BAL JAGRUKTA SAMAJ KALYAN SAMITI,social services urban rural all india children elderly girl child healthcare workers homeless orphans rural poor slum dwellers street children urban poor women
All India Security Council,social services urban rural andaman and nicobar islands accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants orphans patients physically challenged plants policemen porters prisoners refugees rickshawallahs drivers rural poor sportspersons street children students teachers tribals truckers urban poor volunteers women youth
AMAN YUVA EKTA SAMITI,social services urban rural delhi physically challenged slum dwellers women youth
Ambassadors Welfare Society,social services urban rural all india adults
ANANDIBAI MAHILA BAHUUDDESHYA SANSTHA,social services urban rural maharashtra children elderly girl child healthcare workers ngos rural poor students urban poor women
ANKUR SAMAJIK SEVABHAVI SANSTHA,social services urban rural maharashtra ethnic groups hiv tribals
ASTITVA BODH,social services urban rural bihar adults
ATHRARVE SAMAJIC VIKAS SANSTHA BARSHI,business and professional associations unions urban rural maharashtra adults animal lovers
BABUL FILMS SOCIETY,environment urban rural all india animals birds children farmers farm labourers plants students teachers urban poor volunteers women youth
BASILEIA CHARITABLE TRUST,health urban rural all india children elderly girl child homeless orphans students women
Bethesda Rural Economical Association for Development,social services urban rural andhra pradesh adolescents children
BIBEK BIKASH SAMAJ KALYAN KENDRA,social services urban rural west bengal adults women youth
BLESSED WORLD FOUNDATION TRUST,education and research urban rural all india blood donors children girl child patients students
CHEMBUR COLONY YUVAK MANDAL,education and research urban rural maharashtra adolescents adults children girl child physically challenged slum dwellers students teachers urban poor women youth
"CHETNA FOUNDATION, KOLKEWADI",social services urban rural maharashtra dalits ethnic groups farmers farm labourers healthcare workers hiv rural poor tribals
Child Fund (India),social services urban rural andhra pradesh adolescents adults children dalits disaster affected girl child hiv ngos rural poor tribals women youth
COOCH BEHAR HIMALAYAN NATURE DEVELOPMENT SOCIETY,health urban rural west bengal blood donors children healthcare workers hiv patients
DIVYA DOWN'S DEVELOPMENT TRUST,social services urban all india mentally challenged
EARTH FOUNDATION,social services urban rural gujarat adults animal lovers animals birds artisans artists children dalits domestic workers farmers farm labourers girl child healthcare workers plants rural poor sportspersons students teachers tribals weavers women youth
EKLAVYA SWAVALAMBAN TRUST,social services urban rural all india dalits ethnic groups farmers farm labourers rural poor tribals
El-Elyon Charity Trust,social services urban rural maharashtra adolescents elderly
GRAMVIKAS MANDAL,social services rural maharashtra blood donors commercial sex workers dalits rural poor sportspersons students urban poor women youth
HaritaDhara Research Development and Education Foundation,education and research urban rural all india children domestic workers elderly slum dwellers street children students teachers tribals urban poor volunteers women youth
HELP-TRUST(HEALTH ENVIRONMENT & SOCIO-ECONOMIC LITERACY PROJECT),health urban rural andhra pradesh adolescents adults children healthcare workers rural poor urban poor women youth
HUMAN PRIDE CHARITABLE TRUST,social services urban rural all india adolescents adults children dalits farmers farm labourers girl child juvenile migrants rural poor slum dwellers street children students teachers tribals urban poor volunteers women youth
HUMSAFAR,social services urban rural uttar pradesh legal workers ngos students teachers women youth
JAGRITI SANSTHAN,social services urban rural rajasthan animals birds farmers farm labourers
JAIKISAN KRISHI VIKAS TANTRADNYAN VIDNYAN BAHUDDESHIYA SEVABHAVI SANSTHA .,social services rural maharashtra patients rural poor women
KANYA VIVAH AVAM KALYAN SAMITI,social services urban rural jharkhand adults
KAUSHALYA Foundation,social services urban rural all india adolescents adults artisans children dalits disaster affected displaced persons elderly farmers farm labourers girl child homeless migrants ngos plants rickshawallahs drivers rural poor scavengers human slum dwellers street children students tribals urban poor volunteers weavers women youth
Koshish Charitable Trust,social services urban rural bihar adolescents adults artists children chronically ill dalits domestic workers elderly ethnic groups farmers farm labourers girl child homeless migrants physically challenged rural poor slum dwellers street children students tribals urban poor volunteers women youth
KRISHNA SHANTI SUMAN BAHUDDESHIYA KRIDA SANSTHA,social services urban all india adults
LASYA,social services urban rural all india adults children women youth
LOK KALYAN SANSTHAN,social services urban rural all india adults dalits women youth
LOUIS BRAILLE MEMORIAL SCHOOL FOR THE SIGHTLESS,education and research urban rural west bengal adolescents children physically challenged teachers youth
Mahila Vikas Ashram,education and research urban rural bihar accident victims adolescents adults animals birds beggars children dalits disaster affected displaced persons domestic workers elderly farmers farm labourers freedom fighters girl child healthcare workers hiv homeless legal workers lesbian gays bisexuals transgender migrants ngos plants refugees rickshawallahs drivers rural poor slum dwellers street children students teachers urban poor volunteers war victims weavers women youth
Marathwada Berojgar Bahuuddeshya Yuva Munch,social services urban rural maharashtra adults
MAYURAKSHI JANAKALYAN SOCIETY,social services urban rural all india adults
MEDICOS ESTABLISHMENT FOR DEVELOPMENT OF INTEGRATED CARE SOCIETY,health urban rural uttar pradesh blood donors children commercial sex workers dalits elderly orphans patients rickshawallahs drivers rural poor slum dwellers
MITRANGAN FOUNDATION,social services urban rural all india artists blood donors children girl child patients rural poor slum dwellers students urban poor youth
Mukti Rehabilitation Centre,social services urban rural west bengal children orphans
Nav Chetna,education and research urban rural himachal pradesh adults
Navjivan Foundation,social services urban rural bihar accident victims adults animals birds artists beggars blood donors children chronically ill commercial sex workers construction workers disaster affected domestic workers elderly farmers farm labourers freedom fighters girl child healthcare workers hiv legal workers mentally challenged ngos patients plants sportspersons street children students teachers tribals urban poor volunteers weavers women youth
NAVODAYA COMPUTER SAKSHARTA MISSION TRUST,education and research urban rural all india adults children girl child legal workers ngos rural poor students teachers urban poor volunteers women youth
Nishwarth Sarthak Prayas Avem Pariwar Kalyan Samiti,social services rural madhya pradesh adolescents children chronically ill dalits displaced persons farmers farm labourers girl child migrants rural poor tribals women
Omkaram Educational Society,social services urban rural andhra pradesh accident victims children farmers farm labourers girl child healthcare workers ngos policemen rural poor street children students tribals volunteers war victims women youth
Organisation For Underpriveleged Indian Population -Care,education and research urban rural all india accident victims adolescents adults beggars children disaster affected healthcare workers teachers women youth
PANIHATI ASTHA JAN KALYAN SOCIETY,social services urban rural andhra pradesh adults blood donors children commercial sex workers dalits displaced persons elderly girl child healthcare workers hiv homeless orphans physically challenged rural poor slum dwellers street children tribals urban poor women youth
PARAM ASTHA SIKSHA EVM SAMAJIK SAMITI,social services urban rural madhya pradesh children
PAYASAM WELFARE SOCIETY,social services urban rural all india adults women youth
PRAGATHI DISABLED WELFARE DEVELOPMENT SOCIETY,social services urban rural andhra pradesh accident victims adolescents adults children dalits displaced persons elderly girl child hiv mentally challenged orphans physically challenged rural poor street children students war victims women
PRAYAN INITIATIVES,social services urban rural all india adults beggars blood donors children commercial sex workers dalits disaster affected displaced persons elderly girl child healthcare workers hiv homeless mentally challenged migrants organ donors orphans patients physically challenged refugees rural poor slum dwellers street children tribals urban poor volunteers women youth
RACHERI JANTA VIKAS GRAM UDYOG SAMITI,social services urban rural all india adolescents adults children girl child women youth
Rahee Foundation,social services urban maharashtra adolescents children street children students
RAJMATA JIJAMATA BAHUUDESHIYA SANSTHA CHANDRAPUR,education and research urban rural maharashtra students
Ray Welfare Trust,social services urban rural all india adolescents adults children homeless rural poor slum dwellers street children urban poor women youth
`Sahaj' (An Organisation for Women's Development),social services rural gujarat artisans children dalits farmers farm labourers girl child rural poor tribals women
SAHARA AIDS CONTROL SOCIETY,social services urban maharashtra adolescents children youth
Samarpana Development Organization,social services urban rural karnataka adolescents adults women youth
Sambandh Health Foundation,health urban rural delhi mentally challenged
Sarathi Trust,social services urban rural maharashtra lesbian gays bisexuals transgender
SEWA (Socio-Economic Welfare Association),social services urban rural all india students tribals women youth
SHIBKALINAGAR (NORTH) WELFARE SOCIETY,social services rural all india adolescents adults
Shiv Physical Education And Environment Development (Speed) Society,health urban rural uttar pradesh adolescents adults children chronically ill farmers farm labourers healthcare workers migrants rural poor slum dwellers women youth
SHRI DHANVANTRI HEALTH PROFESSIONALS DEVELOPMENT FOUNDATION,social services urban rural all india adults
SHRI LAXMIMATA BAHUUDDESHIYA SEVABHAVI SHIKSHAN SANSTHA,social services rural maharashtra adults animals birds children girl child students women youth
SHRI RAMROTI ANNAKSHETRA ASHRAM,social services urban rural all india adults
SHUBHAKSHIKA EDUCATIONAL SOCIETY,education and research urban delhi adolescents adults beggars children homeless juvenile orphans street children students urban poor youth
SILIGURI SUMITA CANCER RELIEF WELFARE & EDUCATIONAL SOCIETY,health urban rural west bengal adolescents adults children chronically ill patients
Sri Sai Baba Mahila Society,social services rural andhra pradesh artisans tribals weavers women
Sudheekshan Foundation,social services urban rural all india adults
Thakre Bahuuddeshiya Shikshan Sanstha,education and research urban rural all india children students women youth
The Kutumb Foundation,education and research urban delhi adolescents children displaced persons girl child juvenile ngos slum dwellers street children students teachers urban poor volunteers women youth
THE NAVAJEEVAN BALA BHAVAN SOCIETY,social services urban rural andhra pradesh children orphans
Valsad Sports Association,social services urban rural gujarat adolescents children youth
VIDIYEL TRUST,social services rural tamil nadu farmers farm labourers healthcare workers rural poor students women
VIKAS YUVA SANSTHA,social services urban rural maharashtra adults children elderly homeless women youth
Vivekanand sewa sansthan,social services urban rural uttar pradesh adolescents adults
"Yashodeep Medical and Research Foundation, Solapur",social services urban rural maharashtra women
ABHYUDYA,social services urban rural all india adults artisans beggars blood donors children farmers farm labourers girl child lesbian gays bisexuals transgender mentally challenged ngos rural poor students volunteers women youth
AGNI FOUNDATION,social services urban rural tamil nadu children homeless mentally challenged ngos orphans physically challenged women
AMMA BHAGWAN BAHUUDESHIYA SEVABHAVI SANSTHA,social services rural all india adolescents adults children
ASHRAYA Society for Education and Rural Development,education and research rural karnataka children dalits farmers farm labourers girl child physically challenged rural poor students tribals women youth
"Bahujan Nayak Annabhau Sathe Prathistan, Kudla",social services urban rural maharashtra adolescents adults rural poor students women youth
BANWASI VIKAS ASHRAM,education and research rural jharkhand adolescents adults children dalits ethnic groups farmers farm labourers girl child healthcare workers hiv migrants ngos orphans physically challenged rural poor street children students tribals volunteers women youth
Bhagyalaxmi Health And Education Society,health urban rural all india accident victims adolescents adults children women youth
Cancer Care Trust,social services urban rural all india children chronically ill
Champaran Vikas Samiti,social services urban rural bihar adolescents adults women youth
CHILUME SAMAJA SEVA SAMASTHE (CSSS),social services urban karnataka adolescents adults children commercial sex workers construction workers dalits farmers farm labourers girl child hiv migrants orphans rural poor slum dwellers students tribals urban poor women youth
CHINTAN ENVIRONMENTAL RESEARCH AND ACTION GROUP,social services urban delhi adolescents adults children women youth
Digital Empowerment Foundation,social services urban rural all india adults women youth
DUA FOUNDATION,education and research urban rural uttar pradesh adolescents children
Evangelical Social Action Forum (ESAF),social services urban rural kerala adolescents adults artisans children farmers farm labourers healthcare workers hiv migrants ngos rural poor students tribals women youth
GLOBAL LEADERSHIP MINISTRY TRUST,social services urban rural karnataka children dalits elderly girl child ngos orphans rural poor slum dwellers street children students tribals urban poor
Human Resource Trust,social services urban rural gujarat adults children women
Human Upliftment Trust,social services urban rural all india adults
HURSHI JANAKALYAN SAMITY,social services urban rural west bengal adults children chronically ill elderly farmers farm labourers ngos orphans women youth
Integrated People Development Project,social services urban rural all india adults
Jeevan Lok Nirman Sansthan,social services urban rural rajasthan adolescents adults children women youth
JEEYAR EDUCATIONAL TRUST,education and research urban rural all india physically challenged
KALAMANDIR - The Celluloid Chapter Art Foundation,culture and recreation urban jharkhand artisans artists farmers farm labourers rural poor tribals
KIRAN Society,health rural bihar adolescents mentally challenged physically challenged rural poor women
KOTTAMALYAN EDUCATIONAL AND RURAL WOMEN DEVELOPMENT SOCIETY,health rural andhra pradesh accident victims adolescents adults animal lovers blood donors children chronically ill commercial sex workers dalits disaster affected displaced persons elderly ethnic groups factory workers farmers farm labourers freedom fighters girl child healthcare workers hiv homeless juvenile mentally challenged migrants ngos patients physically challenged prisoners refugees rural poor street children students teachers tribals urban poor volunteers women youth
LATE ULHAS MEMORIAL TRUST KANDHAR,social services rural all india salt workers
MANICKAM MEMORIAL TRUST FOR EDUCATION AND RURAL MANAGEMENT,education and research urban rural all india adults
MATA AMBADEVI SHAIKSHANIK VA BAHUUDDESHIYA GRAMIN VIKAS SANSTHA NERPINGLAI,education and research rural maharashtra students youth
MICRO ENTERPRISES AND SUSTAINABLE PROJECT,social services urban rural all india ngos volunteers
NADIA SAHAMARMI,environment urban rural west bengal adults blood donors children construction workers domestic workers farmers farm labourers healthcare workers medical practioners rural poor women
NALANTHA EDUCATIONAL TRUST,social services urban rural tamil nadu adolescents adults artisans beggars children commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly farmers farm labourers girl child hiv homeless mentally challenged migrants ngos orphans patients physically challenged plants rural poor scavengers human slum dwellers street children students tribals truckers urban poor volunteers women youth
Nucleus Education & Health Welfare,social services urban rural delhi adolescents adults children rural poor slum dwellers urban poor women youth
Partnering Hope Into Action Foundation,education and research urban rural delhi children construction workers dalits disaster affected farmers farm labourers girl child homeless rural poor scavengers human slum dwellers tribals urban poor women
"Peoples Education Society, Buldana",social services urban rural maharashtra adolescents adults children hiv women
